state,district,market,commodity,variety,arrival_date,min_price,max_price,modal_price
Gujarat,Bharuch,Jambusar,Rice,Other,11/02/2020,2800,3400,3200
Gujarat,Bharuch,Jambusar,Rice,Other,12/02/2020,3000,3500,3300
Gujarat,Bharuch,Jambusar,Rice,Other,13/02/2020,2800,3400,3000
Gujarat,Bharuch,Jambusar,Rice,Other,14/02/2020,3000,3500,3300
Gujarat,Bharuch,Jambusar,Rice,Other,15/02/2020,2800,3400,3200
Gujarat,Bharuch,Jambusar,Rice,Other,16/02/2020,2800,3200,3000
Gujarat,Bharuch,Jambusar,Rice,Other,17/02/2020,3000,3400,3200
Gujarat,Bharuch,Jambusar,Rice,Other,18/02/2020,3000,3500,3300
Gujarat,Bharuch,Jambusar,Rice,Other,19/02/2020,2800,3400,3200
Gujarat,Bharuch,Jambusar,Rice,Other,20/02/2020,2800,3400,3200
Gujarat,Bharuch,Jambusar,Rice,Other,21/02/2020,2800,3200,3000
Gujarat,Bharuch,Jambusar,Rice,Other,22/02/2020,2600,3400,3000
Gujarat,Bharuch,Jambusar,Rice,Other,23/02/2020,2700,3300,3000
Gujarat,Bharuch,Jambusar,Rice,Other,24/02/2020,3000,3500,3300
Gujarat,Bharuch,Jambusar,Rice,Other,25/02/2020,3000,3500,3300
Gujarat,Bharuch,Jambusar,Rice,Other,26/02/2020,2800,3400,3200
Gujarat,Bharuch,Jambusar,Rice,Other,27/02/2020,3000,3400,3200
Gujarat,Bharuch,Jambusar,Rice,Other,28/02/2020,3000,3500,3300
Gujarat,Bharuch,Jambusar,Rice,Other,29/02/2020,2800,3400,3100
Gujarat,Bharuch,Jambusar(Kaavi),Rice,Other,11/02/2020,3000,3500,3300
Gujarat,Bharuch,Jambusar(Kaavi),Rice,Other,12/02/2020,2800,3400,3000
Gujarat,Bharuch,Jambusar(Kaavi),Rice,Other,13/02/2020,3000,3500,3300
Gujarat,Bharuch,Jambusar(Kaavi),Rice,Other,14/02/2020,3000,3400,3200
Gujarat,Bharuch,Jambusar(Kaavi),Rice,Other,15/02/2020,3000,3500,3300
Gujarat,Bharuch,Jambusar(Kaavi),Rice,Other,16/02/2020,2700,3300,3000
Gujarat,Bharuch,Jambusar(Kaavi),Rice,Other,17/02/2020,2800,3400,3200
Gujarat,Bharuch,Jambusar(Kaavi),Rice,Other,18/02/2020,2800,3400,3200
Gujarat,Bharuch,Jambusar(Kaavi),Rice,Other,19/02/2020,3000,3400,3300
Gujarat,Bharuch,Jambusar(Kaavi),Rice,Other,20/02/2020,3000,3500,3300
Gujarat,Bharuch,Jambusar(Kaavi),Rice,Other,21/02/2020,2700,3300,3000
Gujarat,Bharuch,Jambusar(Kaavi),Rice,Other,22/02/2020,2700,3300,3000
Gujarat,Bharuch,Jambusar(Kaavi),Rice,Other,23/02/2020,2900,3300,3100
Gujarat,Bharuch,Jambusar(Kaavi),Rice,Other,24/02/2020,2800,3400,3200
Gujarat,Bharuch,Jambusar(Kaavi),Rice,Other,25/02/2020,2800,3400,3200
Gujarat,Bharuch,Jambusar(Kaavi),Rice,Other,26/02/2020,3000,3500,3300
Gujarat,Bharuch,Jambusar(Kaavi),Rice,Other,27/02/2020,2800,3400,3100
Gujarat,Bharuch,Jambusar(Kaavi),Rice,Other,28/02/2020,2800,3400,3200
Gujarat,Bharuch,Jambusar(Kaavi),Rice,Other,29/02/2020,3000,3500,3300
Gujarat,Dahod,Dahod,Rice,Coarse,01/01/2020,3800,4200,4000
Gujarat,Dahod,Dahod,Rice,Coarse,02/01/2020,3800,4200,4000
Gujarat,Dahod,Dahod,Rice,Coarse,03/01/2020,3800,4200,4000
Gujarat,Dahod,Dahod,Rice,Coarse,04/01/2020,3800,4200,4000
Gujarat,Dahod,Dahod,Rice,Coarse,06/01/2020,3800,4200,4000
Gujarat,Dahod,Dahod,Rice,Coarse,07/01/2020,3800,4200,4100
Gujarat,Dahod,Dahod,Rice,Coarse,09/01/2020,3800,4200,4000
Gujarat,Dahod,Dahod,Rice,Coarse,11/01/2020,3800,4200,4100
Gujarat,Dahod,Dahod,Rice,Coarse,13/01/2020,3800,4200,4000
Gujarat,Dahod,Dahod,Rice,Coarse,15/01/2020,3800,4200,4100
Gujarat,Dahod,Dahod,Rice,Coarse,16/01/2020,3800,4200,4000
Gujarat,Dahod,Dahod,Rice,Coarse,17/01/2020,3800,4200,4000
Gujarat,Dahod,Dahod,Rice,Coarse,18/01/2020,3800,4200,4000
Gujarat,Dahod,Dahod,Rice,Coarse,20/01/2020,3800,4200,4000
Gujarat,Dahod,Dahod,Rice,Coarse,21/01/2020,3800,4200,4000
Gujarat,Dahod,Dahod,Rice,Coarse,22/01/2020,3800,4200,4000
Gujarat,Dahod,Dahod,Rice,Coarse,23/01/2020,3800,4200,4000
Gujarat,Dahod,Dahod,Rice,Coarse,24/01/2020,3800,4300,4100
Gujarat,Dahod,Dahod,Rice,Coarse,25/01/2020,3800,4300,4200
Gujarat,Dahod,Dahod,Rice,Coarse,27/01/2020,3700,4300,4100
Gujarat,Dahod,Dahod,Rice,Coarse,28/01/2020,3700,4300,4100
Gujarat,Dahod,Dahod,Rice,Coarse,29/01/2020,3700,4300,4100
Gujarat,Dahod,Dahod,Rice,Coarse,31/01/2020,3700,4300,4100
Gujarat,Dahod,Dahod,Rice,Coarse,01/02/2020,3700,4300,4100
Gujarat,Dahod,Dahod,Rice,Coarse,03/02/2020,3700,4300,4125
Gujarat,Dahod,Dahod,Rice,Coarse,04/02/2020,3700,4300,4100
Gujarat,Dahod,Dahod,Rice,Coarse,05/02/2020,3700,4300,4000
Gujarat,Dahod,Dahod,Rice,Coarse,06/02/2020,3700,4300,4100
Gujarat,Dahod,Dahod,Rice,Coarse,07/02/2020,3700,4300,4000
Gujarat,Dahod,Dahod,Rice,Coarse,08/02/2020,3700,4300,4150
Gujarat,Dahod,Dahod,Rice,Coarse,10/02/2020,3700,4300,4150
Gujarat,Dahod,Dahod,Rice,Coarse,11/02/2020,3800,4300,4100
Gujarat,Dahod,Dahod,Rice,Coarse,12/02/2020,3700,4300,4150
Gujarat,Dahod,Dahod,Rice,Coarse,13/02/2020,3700,4300,4100
Gujarat,Dahod,Dahod,Rice,Coarse,14/02/2020,3700,4300,4200
Gujarat,Dahod,Dahod,Rice,Coarse,15/02/2020,3700,4300,4100
Gujarat,Dahod,Dahod,Rice,Coarse,17/02/2020,3700,4300,4100
Gujarat,Dahod,Dahod,Rice,Coarse,19/02/2020,3700,4300,4100
Gujarat,Dahod,Dahod,Rice,Coarse,20/02/2020,3700,4300,4100
Gujarat,Dahod,Dahod,Rice,Coarse,22/02/2020,3700,4300,4000
Gujarat,Dahod,Dahod,Rice,Coarse,24/02/2020,3700,4300,4100
Gujarat,Dahod,Dahod,Rice,Coarse,25/02/2020,3700,4300,4150
Gujarat,Dahod,Dahod,Rice,Coarse,27/02/2020,3700,4300,4100
Gujarat,Dahod,Dahod,Rice,Coarse,29/02/2020,3700,4300,4100
Gujarat,Dahod,Dahod,Rice,Coarse,02/03/2020,3700,4300,4000
Gujarat,Dahod,Dahod,Rice,Coarse,03/03/2020,3700,4300,4100
Gujarat,Dahod,Dahod,Rice,Coarse,04/03/2020,3700,4300,4000
Gujarat,Dahod,Dahod,Rice,Coarse,05/03/2020,3700,4300,4000
Gujarat,Dahod,Dahod,Rice,Coarse,06/03/2020,3700,4300,4000
Gujarat,Dahod,Dahod,Rice,Coarse,07/03/2020,3700,4300,4000
Gujarat,Dahod,Dahod,Rice,Coarse,11/03/2020,3700,4300,4000
Gujarat,Dahod,Dahod,Rice,Coarse,12/03/2020,3700,4300,4100
Gujarat,Dahod,Dahod,Rice,Coarse,13/03/2020,3700,4300,4100
Gujarat,Dahod,Dahod,Rice,Coarse,14/03/2020,3700,4300,4100
Gujarat,Dahod,Dahod,Rice,Coarse,16/03/2020,3700,4300,4000
Gujarat,Dahod,Dahod,Rice,Coarse,17/03/2020,3700,4300,4000
Gujarat,Dahod,Dahod,Rice,Coarse,18/03/2020,3700,4300,4000
Gujarat,Dahod,Dahod,Rice,Coarse,19/03/2020,3700,4300,4000
Gujarat,Dahod,Dahod,Rice,Coarse,20/03/2020,3700,4300,4000
Gujarat,Dahod,Dahod,Rice,Coarse,21/03/2020,3700,4300,4000
Gujarat,Dahod,Dahod,Rice,Coarse,23/03/2020,3700,4300,4000
Gujarat,Dahod,Dahod,Rice,Coarse,21/04/2020,4000,4500,4300
Gujarat,Dahod,Dahod,Rice,Coarse,22/04/2020,4000,4500,4300
Gujarat,Dahod,Dahod,Rice,Coarse,23/04/2020,4000,4500,4300
Gujarat,Dahod,Dahod,Rice,Coarse,26/04/2020,4000,4500,4350
Gujarat,Dahod,Dahod,Rice,Coarse,28/04/2020,4000,4500,4300
Gujarat,Dahod,Dahod,Rice,Coarse,29/04/2020,4000,4500,4300
Gujarat,Dahod,Dahod,Rice,Coarse,30/04/2020,4000,4500,4300
Gujarat,Dahod,Dahod,Rice,Coarse,01/05/2020,4000,4500,4300
Gujarat,Dahod,Dahod,Rice,Coarse,02/05/2020,4000,4500,4400
Gujarat,Dahod,Dahod,Rice,Coarse,04/05/2020,4000,4500,4400
Gujarat,Dahod,Dahod,Rice,Coarse,05/05/2020,4000,4500,4400
Gujarat,Dahod,Dahod,Rice,Coarse,06/05/2020,4000,4500,4400
Gujarat,Dahod,Dahod,Rice,Coarse,07/05/2020,4000,4500,4400
Gujarat,Dahod,Dahod,Rice,Coarse,08/05/2020,4000,4500,4400
